measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Nigeria,Male,All Ages,Ischemic heart disease,Number,2002,16676.3901264,21410.1098947,11950.1945017
Deaths,Nigeria,Female,All Ages,Ischemic heart disease,Number,2002,23638.3975111,29778.5324208,18418.193281
Deaths,Nigeria,Male,All Ages,Ischemic heart disease,Percent,2002,0.0203863090304,0.0258515011532,0.0147696079188
Deaths,Nigeria,Female,All Ages,Ischemic heart disease,Percent,2002,0.0315125769372,0.0385924468822,0.0253439382591
Deaths,Nigeria,Male,All Ages,Cerebrovascular disease,Number,2002,10651.532179,13778.1251343,7855.04942763
Deaths,Nigeria,Female,All Ages,Cerebrovascular disease,Number,2002,18035.3048046,22622.1165863,14133.1853485
Deaths,Nigeria,Male,All Ages,Cerebrovascular disease,Percent,2002,0.013018283058,0.0164446504962,0.00976821397998
Deaths,Nigeria,Female,All Ages,Cerebrovascular disease,Percent,2002,0.0240422705642,0.0293036828219,0.019412996543
Deaths,Nigeria,Male,All Ages,Chronic obstructive pulmonary disease,Number,2002,3113.99408498,4043.79644659,2161.5375827
Deaths,Nigeria,Female,All Ages,Chronic obstructive pulmonary disease,Number,2002,4261.46517191,6526.88582487,2983.7627374
Deaths,Nigeria,Male,All Ages,Chronic obstructive pulmonary disease,Percent,2002,0.00380700442336,0.00496350861609,0.00265936339699
Deaths,Nigeria,Female,All Ages,Chronic obstructive pulmonary disease,Percent,2002,0.00568144543406,0.00873779336764,0.00408447609895
Deaths,Nigeria,Male,All Ages,Pneumoconiosis,Number,2002,8.70224594727,12.3286154276,5.97447749356
Deaths,Nigeria,Female,All Ages,Pneumoconiosis,Number,2002,3.54312770805,5.67609188149,2.01011287847
Deaths,Nigeria,Male,All Ages,Pneumoconiosis,Percent,2002,1.06337744085e-05,1.49332474612e-05,7.36052421728e-06
Deaths,Nigeria,Female,All Ages,Pneumoconiosis,Percent,2002,4.72571107569e-06,7.6147615484e-06,2.74424230451e-06
Deaths,Nigeria,Male,All Ages,Other pneumoconiosis,Number,2002,5.63074931111,8.06106432173,3.79584259343
Deaths,Nigeria,Female,All Ages,Other pneumoconiosis,Number,2002,2.79763276681,4.31245902587,1.6517969978
Deaths,Nigeria,Male,All Ages,Other pneumoconiosis,Percent,2002,6.88230781027e-06,9.86633455234e-06,4.73616001953e-06
Deaths,Nigeria,Female,All Ages,Other pneumoconiosis,Percent,2002,3.73147049196e-06,5.72153838729e-06,2.23635269561e-06
Deaths,Nigeria,Male,All Ages,Asthma,Number,2002,1508.77697592,2214.06981118,988.079920973
Deaths,Nigeria,Female,All Ages,Asthma,Number,2002,2186.94607471,3295.79073347,1481.59534267
Deaths,Nigeria,Male,All Ages,Asthma,Percent,2002,0.00184388720661,0.00271516489615,0.00122838404076
Deaths,Nigeria,Female,All Ages,Asthma,Percent,2002,0.00291514604485,0.00440017102844,0.00203425274387
Deaths,Nigeria,Male,All Ages,Interstitial lung disease and pulmonary sarcoidosis,Number,2002,63.1210064947,104.304293443,28.1650777048
Deaths,Nigeria,Female,All Ages,Interstitial lung disease and pulmonary sarcoidosis,Number,2002,52.1777765323,101.709273103,29.8833286874
Deaths,Nigeria,Male,All Ages,Interstitial lung disease and pulmonary sarcoidosis,Percent,2002,7.71000066939e-05,0.000125646056703,3.59836311984e-05
Deaths,Nigeria,Female,All Ages,Interstitial lung disease and pulmonary sarcoidosis,Percent,2002,6.95707685507e-05,0.000133282613514,4.02804232735e-05
Deaths,Nigeria,Male,All Ages,Larynx cancer,Number,2002,369.403949331,520.247258394,239.322165857
Deaths,Nigeria,Female,All Ages,Larynx cancer,Number,2002,55.300399577,70.400317647,40.962991802
Deaths,Nigeria,Male,All Ages,Larynx cancer,Percent,2002,0.00045146425185,0.000635571557937,0.00029467466463
Deaths,Nigeria,Female,All Ages,Larynx cancer,Percent,2002,7.36867357118e-05,9.28214407468e-05,5.75145025908e-05
