"zone","state","sector","lga","ea","hhid","dist_road2","dist_popcenter2","dist_market","dist_border2","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","popdensity","ssa_aez09","afmnslp_pct","srtm_nga","twi_nga","srtm_nga_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2015_tot","h2015_wetQ","h2015_wetQstart","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2015_eviarea","h2015_evimax","h2015_grn","h2015_sen","LAT_DD_MOD","LON_DD_MOD","distY1Y3"
4,1,1,115,670,10001,0.9,3.6,48.6,532.6,4.8,260,246,2157,323,907,40,30,2410,313,5.24,140,16,4,3,2,1,1,1,1,1,1892,865,17,1988,812,23,40.2,0.5014,104,334,48.7,0.5166,98,332,5.53545594433,7.53153560163,
4,1,1,115,670,10002,1,3.6,48.7,532.6,4.7,260,246,2157,323,907,40,30,2410,313,5.24,140,14,4,3,2,1,1,1,1,1,1892,865,17,1989,813,23,40.2,0.5014,104,334,48.7,0.5166,98,332,5.53545594433,7.53153560163,
4,1,1,115,670,10003,0.9,3.7,48.6,532.7,4.8,260,246,2157,323,907,38,30,2410,313,5.24,140,16,4,3,2,1,1,1,1,1,1892,865,17,1988,812,23,40.2,0.5014,104,334,48.7,0.5166,98,332,5.53545594433,7.53153560163,
4,1,1,115,670,10004,0.7,3.8,48.4,532.8,4.9,260,246,2157,323,907,38,30,2410,313,5.24,150,13,4,3,2,1,1,1,1,1,1893,865,17,1986,811,23,40.2,0.5014,104,334,48.7,0.5166,98,332,5.53545594433,7.53153560163,
4,1,1,115,670,10005,1.8,3.7,44.9,529.9,3.9,259,246,2169,325,912,28,20,13770,313,3.49,160,12,4,3,2,1,1,1,1,1,1882,859,17,1928,786,23,40.2,0.5014,104,334,48.7,0.5166,98,332,5.53545594433,7.53153560163,
4,1,1,115,0,10006,0.3,0.6,48.1,529.4,1.6,260,246,2153,322,906,9,110,16330,313,1.75,160,13,1,3,2,1,1,1,1,1,1881,860,17,1967,809,23,40.2,0.5014,104,334,48.7,0.5166,98,332,5.53545594433,7.53153560163,
4,1,1,115,670,10008,1,3.8,48.7,532.8,4.9,260,246,2157,323,907,37,30,2410,313,5.24,140,13,4,3,2,1,1,1,1,1,1893,866,17,1990,813,23,40.2,0.5014,104,334,48.7,0.5166,98,332,5.53545594433,7.53153560163,
4,1,2,105,0,10009,0.6,7.1,45.4,534.9,8,261,248,2169,323,908,37,20,980,313,3.49,120,12,4,3,2,1,1,1,1,1,1902,868,17,1942,782,23,40.2,0.5014,104,334,48.7,0.5166,98,332,5.46540908966,7.56949383789,6
4,1,1,115,670,10010,1,3.7,48.7,532.7,4.8,260,246,2157,323,907,40,30,2410,313,5.24,140,13,4,3,2,1,1,1,1,1,1892,865,17,1990,813,23,40.2,0.5014,104,334,48.7,0.5166,98,332,5.53545594433,7.53153560163,
4,1,2,104,1364,10011,0.1,0.1,57.6,543.6,17,264,250,2140,320,902,25,40,490,313,8.75,130,12,4,3,2,1,1,1,1,1,1925,887,18,2125,859,23,40.2,0.5014,104,334,48.7,0.5166,98,332,5.55555406781,7.611029751,
