"zone","state","lga","sector","ea","pid","c1q2","c1q3","c1q4a","c1q4b","c1q4c","c1q5","c1q6"
4,1,102,1,536,1,1,87,1,,,60,42
4,1,102,1,536,7,1,50,8,,,50,13
4,1,102,1,536,8,1,47,8,,,47,16
4,1,102,1,536,4,2,47,11,,"civil servant",25,26
4,1,102,1,536,2,1,58,8,,,30,16
4,1,102,1,536,5,1,52,8,,,52,42
4,1,102,1,536,6,1,45,8,,,45,26
4,1,102,1,536,3,1,68,11,,"Politician",45,26
4,1,102,1,1690,7,1,58,8,,,45,26
4,1,102,1,1690,5,1,45,8,,,45,26
4,1,102,1,1690,1,1,62,1,,,45,41
4,1,102,1,1690,6,1,60,8,,,45,26
4,1,102,1,1690,3,2,55,11,,"Politician",35,16
4,1,102,1,1690,2,1,64,3,,,25,42
4,1,102,1,1690,4,1,53,8,,,53,42
4,1,104,2,1364,5,1,57,11,,"Govt. Worker",40,42
4,1,104,2,1364,3,2,76,6,,,52,16
4,1,104,2,1364,7,1,87,3,,,16,42
4,1,104,2,1364,1,1,88,1,,,16,16
4,1,104,2,1364,2,1,90,1,,,52,16
4,1,104,2,1364,6,1,55,8,,,55,16
4,1,104,2,1364,4,1,35,8,,,25,26
4,1,105,2,638,6,1,55,8,,,55,16
4,1,105,2,638,1,1,82,1,,,35,26
4,1,105,2,638,3,2,67,8,,,27,23
4,1,105,2,638,2,1,69,6,,,32,32
4,1,105,2,638,5,1,60,8,,,45,16
4,1,105,2,638,4,1,72,6,,,72,16
4,1,106,2,880,8,2,57,6,,,57,26
4,1,106,2,880,2,1,52,8,,,52,23
4,1,106,2,880,3,2,47,6,,,30,13
4,1,106,2,880,5,1,40,6,,,40,16
4,1,106,2,880,7,2,56,8,,,45,16
4,1,106,2,880,6,1,70,6,,,70,16
4,1,106,2,880,4,1,42,8,,,40,16
4,1,106,2,880,1,1,56,1,,,25,26
4,1,107,2,1044,9,2,50,8,,,27,26
4,1,107,2,1044,2,1,70,1,,,25,16
4,1,107,2,1044,8,1,42,6,,,32,16
4,1,107,2,1044,6,1,42,8,,,15,16
4,1,107,2,1044,3,1,45,11,,"village head",41,32
4,1,107,2,1044,7,2,52,6,,,25,16
4,1,107,2,1044,5,1,37,11,,"village head",37,16
4,1,107,2,1044,4,1,52,11,,"Treasurer",52,16
4,1,108,2,904,6,1,68,8,,,30,16
4,1,108,2,904,2,1,66,3,,,9,42
4,1,108,2,904,8,1,63,6,,,25,16
4,1,108,2,904,4,1,65,3,,,40,13
4,1,108,2,904,3,1,31,11,,"youth leader",10,16
4,1,108,2,904,5,2,67,6,,,45,13
